Rival,Nombre Normalizado
A.D.T.,A.D.T.
ADT,A.D.T.
AELU,AELU
Academia Cantolao,Academia Cantolao
Academia Cantolao,Academia Cantolao
Alfonso Ugarte,Alfonso Ugarte
Alianza Atl.,Alianza Atlético
Alianza Atletico,Alianza Atlético
Alianza Atlétic,Alianza Atlético
Alianza Atlético,Alianza Atlético
Alianza Lima,Alianza Lima
Alianza Universidad,Alianza Universidad
Always Ready,Always Ready
América,América
América de Cali,América de Cali
Arsenal de Sarandí,Arsenal de Sarandí
Athletico Paranaense,Athletico Paranaense
Atlético Chalaco,Atlético Chalaco
Atlético Colegiales,Atlético Colegiales
Atlético Colón,Atlético Colón
Atlético Grau,Atlético Grau
Atlético Minero,Atlético Minero
Atlético Nacional,Atlético Nacional
Atlético Torino,Atlético Torino
Atlético Universidad,Atlético Universidad
Ayacucho FC,Ayacucho FC
Barcelona SC,Barcelona SC
Boca Juniors,Boca Juniors
Bolognesi,Bolognesi
Bolívar,Bolívar
C.N.I.,C.N.I.
CNI,C.N.I.
Caracas Fc.,Caracas FC
Carlos A. Mannucci,Carlos A. Mannucci
Carlos Concha,Carlos Concha
Centro Iqueño,Centro Iqueño
Cerro Porteño,Cerro Porteño
Chalaco,Atlético Chalaco
Ciclista Lima,Ciclista Lima
Cienciano,Cienciano
Cobreloa,Cobreloa
Cobresol FBC,Cobresol FBC
Colo-Colo,Colo-Colo
Comerciantes Unidos,Comerciantes Unidos
Coopsol,Coopsol
Coopsol Trujillo,Coopsol
Coritiba,Coritiba
Coronel Bolognesi,Coronel Bolognesi
Criciúma,Criciúma
Cruzeiro,Cruzeiro
Cusco FC,Cusco FC
César Vallejo,César Vallejo
Defensor Arica,Defensor Arica
Defensor La Bocana,Defensor La Bocana
Defensor Lima,Defensor Lima
Defensor Sporting,Defensor Sporting
Dep. Llacuabamba,Deportivo Llacuabamba
Dep. Los Chankas,Deportivo Los Chankas
Dep. Municipal,Deportivo Municipal
Dep. Pesquero,Deportivo Pesquero
Dep. Portugués,Deportivo Portugués
Deportivo Cuenca,Deportivo Cuenca
Deportivo Garcilaso,Deportivo Garcilaso
Deportivo Junín,Deportivo Junín
Deportivo Municipal,Deportivo Municipal
Deportivo Pesquero,Deportivo Pesquero
Deportivo San Agustín,Deportivo San Agustín
Deportivo Siposa,Deportivo Sipesa
Deportivo Táchira,Deportivo Táchira
Deportivo U.P.A.O.,U.P.A.O.
Deportivo Wanka,Deportivo Wanka
EMD Binacional,EMD Binacional
El Nacional,El Nacional
Emelec,Emelec
Estudiantes,Estudiantes
Estudiantes de Medicina,Estudiantes de Medicina
FBC Melgar,FBC Melgar
FC Carlos Stein,FC Carlos Stein
Flamengo,Flamengo
Fluminense,Fluminense
Godoy Cruz,Godoy Cruz
Grau Estudiantes,Grau Estudiantes
Gremio,Gremio
Guaraní,Guaraní
Guardia Republicana,Guardia Republicana
Huancayo FC,Huancayo FC
Huracán,Huracán
IMI F.C.,IMI F.C.
Independiente Santa Fe,Independiente Santa Fe
Inti Gas,Inti Gas
Inti Gas Deportes,Inti Gas
Jorge Wilstermann,Jorge Wilstermann
José Gálvez,José Gálvez
José Gálvez FBC,José Gálvez
Juan Aurich,Juan Aurich
KDT Nacional,KDT Nacional
Kansas City Wizards,Kansas City Wizards
La Loretana,La Loretana
La Palma,La Palma
Lanús,Lanús
Lawn Tennis,Lawn Tennis
Leon de Huanuco,León de Huánuco
León de Huánuco,León de Huánuco
Libertad,Libertad
Los Caimanes,Los Caimanes
Mariscal Sucre,Mariscal Sucre
Melgar,FBC Melgar
Melgar Fc.,FBC Melgar
Mina San Vicente,Mina San Vicente
Minervén,Minervén
Morelia,Morelia
Municipal,Municipal
Nacional,Nacional
Octavio Espinoza,Octavio Espinoza
Olimpia,Olimpia
Oriente Petrolero,Oriente Petrolero
Pachuca,Pachuca
Pacifico FC,Pacifico FC
Palmeiras,Palmeiras
Paysandu,Paysandu
Peñarol,Peñarol
Pirata,Pirata
Pirata FC,Pirata FC
Portuguesa,Portuguesa
Porvenir Miraflores,Porvenir Miraflores
Racing Club,Racing Club
Real Garcilaso,Real Garcilaso
Rentistas,Rentistas
River Plate,River Plate
Rosario Central,Rosario Central
SIMA,SIMA
San Agustín,San Agustín
San Martín,Universidad San Martín de Porres
San Simón,San Simón
Santiago Wanderers,Santiago Wanderers
Santos,Santos
Santos Laguna,Santos Laguna
Sport Boys,Sport Boys
Sport Huancayo,Sport Huancayo
Sport Loreto,Sport Loreto
Sport Rosario,Sport Rosario
Sport Áncash,Sport Áncash
São Paulo,São Paulo
Talleres,Talleres
The Strongest,The Strongest
Tigre,Tigre
Total Chalaco,Total Chalaco
Total Clean,Total Clean
Tumán,Tumán
U.P.A.O.,U.P.A.O.
U.T.C.,U.T.C.
UTC,UTC
Union Comercio,Union Comercio
Univ. Cesar Vallejo,Universidad César Vallejo
Univ. César Vallejo,Universidad César Vallejo
Univ. Los Andes,Universidad Los Andes
Univ. San Martín,Universidad San Martín de Porres
Univ. San Martín de P.,Universidad San Martín de Porres
Univ.Cesar Vallejo,Universidad César Vallejo
Univ.San Martin de P.,Universidad San Martín de Porres
Universidad Católica,Universidad Católica
Universidad César Vallejo,Universidad César Vallejo
Universidad San Martín,Universidad San Martín
Universidad San Martín de Porres,Universidad San Martín de Porres
Universidad de Chile,Universidad de Chile
Universidad de Concepción,Universidad de Concepción
Universitario,Universitario
Unión Comercio,Unión Comercio
Unión Española,Unión Española
Unión Huaral,Unión Huaral
Unión Minas,Unión Minas
Vélez Sarsfield,Vélez Sarsfield
Wanka,Wanka
Zulia FC,Zulia FC